video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,30.25,5.44,17.01,7.8,75.19
p5-s10,41.1,5.15,11.01,24.94,64.06
p7-s8,59.94,6.24,23.62,30.09,46.3
p7-s16,39.63,4.83,18.82,15.98,65.2
p9-s3-1,69.78,6.51,43.37,19.89,36.74
p9-s9,35.65,8.48,19.8,7.36,72.84
p11-s4,26.91,5.83,13.02,8.06,78.92
p11-s11,25.51,6.97,5.9,12.64,81.46
p12-s3,46.67,22.43,12.23,12.02,75.76
p12-s6,57.43,27.22,15.4,14.81,69.78
p17-s2,34.78,4.74,15.02,15.03,69.95
p17-s6,32.02,4.22,19.86,7.94,72.2
p18-s15,19.8,3.18,12.13,4.49,83.38
p18-s17,20.17,3.45,8.98,7.74,83.28
