video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,75.95,7.92,58.2,9.83,31.97
p5-s10,62.19,19.99,26.42,15.77,57.81
p7-s8,63.71,3.4,55.03,5.28,39.69
p7-s16,68.7,14.78,42.83,11.09,46.08
p9-s3-1,94.84,2.04,89.92,2.88,7.2
p9-s9,77.67,2.28,69.76,5.63,24.61
p11-s4,67.26,20.02,38.74,8.51,52.76
p11-s11,89.51,28.53,38.06,22.92,39.03
p12-s3,97.21,0.33,95.09,1.78,3.12
p12-s6,89.03,0.71,85.91,2.41,11.68
p17-s2,45.38,7.26,22.32,15.8,61.87
p17-s6,55.3,14.96,26.9,13.44,59.66
p18-s15,64.89,26.35,23.32,15.23,61.46
p18-s17,57.31,22.14,19.46,15.71,64.83
