video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,79.92,49.23,12.53,18.16,69.31
p5-s10,55.56,35.14,8.5,11.92,79.58
p7-s8,58.78,9.49,17.69,31.6,50.72
p7-s16,68.93,31.37,13.3,24.26,62.44
p9-s3-1,68.25,10.42,45.38,12.45,42.17
p9-s9,67.55,31.18,25.52,10.85,63.63
p11-s4,52.84,29.68,11.57,11.59,76.84
p11-s11,83.58,51.51,5.71,26.36,67.93
p12-s3,128.33,102.75,7.56,18.02,74.42
p12-s6,121.94,89.37,10.21,22.36,67.43
p17-s2,23.29,7.22,13.62,2.44,83.93
p17-s6,44.51,20.73,16.46,7.32,76.22
p18-s15,67.76,36.02,6.79,24.95,68.26
p18-s17,50.01,31.4,10.11,8.5,81.4
