video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,52.34,1.85,10.06,40.43,49.51
p5-s10,53.31,1.61,3.96,47.74,48.3
p7-s8,61.0,2.14,13.01,45.85,41.14
p7-s16,25.35,2.59,14.94,7.82,77.24
p9-s3-1,58.79,3.17,32.67,22.95,44.37
p9-s9,35.88,4.05,9.65,22.18,68.17
p11-s4,32.52,1.89,7.76,22.87,69.36
p11-s11,20.62,3.34,2.21,15.06,82.72
p12-s3,55.98,7.38,6.22,42.38,51.4
p12-s6,46.29,4.15,12.8,29.34,57.86
p17-s2,15.72,1.63,8.81,5.28,85.91
p17-s6,19.58,0.45,14.48,4.65,80.87
p18-s15,12.11,0.6,5.51,6.0,88.49
p18-s17,22.58,0.03,3.0,19.55,77.45
