video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,33.28,8.86,15.79,8.63,75.58
p5-s10,23.64,8.09,9.89,5.66,84.45
p7-s8,60.55,10.31,21.81,28.42,49.76
p7-s16,41.42,7.01,8.69,25.72,65.59
p9-s3-1,57.16,12.81,30.38,13.96,55.66
p9-s9,35.58,10.38,16.97,8.22,74.81
p11-s4,27.25,11.48,9.97,5.79,84.24
p11-s11,31.96,10.28,7.71,13.97,78.31
p12-s3,52.23,29.77,7.42,15.04,77.54
p12-s6,52.54,26.18,6.51,19.84,73.65
p17-s2,33.51,8.46,9.37,15.68,74.95
p17-s6,25.62,6.46,15.32,3.84,80.84
p18-s15,32.03,6.07,19.47,6.49,74.04
p18-s17,30.52,4.66,12.92,12.95,74.14
